iter	Passed	Remaining
0	139	139325
1	141	70800
2	144	47959
3	146	36410
4	148	29534
5	150	24958
6	152	21676
7	154	19201
8	157	17318
9	159	15789
10	161	14526
11	163	13457
12	165	12596
13	167	11829
14	169	11126
15	171	10516
16	172	9979
17	173	9491
18	175	9044
19	176	8631
20	177	8256
21	178	7917
22	179	7607
23	179	7319
24	180	7057
25	181	6814
26	182	6584
27	183	6372
28	184	6178
29	185	5994
30	186	5828
31	187	5671
32	188	5524
33	189	5381
34	190	5244
35	191	5115
36	191	4993
37	192	4877
38	193	4768
39	194	4664
40	195	4565
41	195	4470
42	196	4380
43	197	4293
44	198	4212
45	199	4133
46	200	4059
47	201	3992
48	202	3934
49	203	3874
50	204	3812
51	205	3752
52	207	3699
53	208	3645
54	209	3591
55	209	3538
56	210	3487
57	211	3438
58	212	3391
59	213	3346
60	214	3301
61	215	3257
62	216	3217
63	217	3184
64	218	3146
65	219	3107
66	220	3069
67	221	3033
68	222	3000
69	223	2968
70	224	2934
71	225	2902
72	226	2870
73	226	2838
74	227	2807
75	228	2778
76	229	2749
77	230	2720
78	231	2696
79	232	2672
80	233	2648
81	234	2622
82	234	2593
83	235	2568
84	236	2544
85	237	2521
86	238	2498
87	239	2478
88	239	2456
89	240	2434
90	241	2413
91	242	2392
92	243	2371
93	243	2351
94	244	2332
95	245	2314
96	246	2299
97	248	2283
98	249	2267
99	250	2251
100	251	2235
101	251	2218
102	252	2201
103	253	2184
104	254	2169
105	255	2153
106	256	2137
107	256	2121
108	257	2106
109	258	2091
110	259	2076
111	260	2064
112	261	2052
113	262	2042
114	263	2030
115	264	2019
116	266	2007
117	266	1995
118	268	1985
119	269	1976
120	270	1966
121	271	1954
122	272	1942
123	273	1931
124	274	1919
125	275	1910
126	276	1900
127	278	1894
128	279	1884
129	279	1872
130	280	1863
131	282	1855
132	283	1844
133	283	1834
134	284	1824
135	285	1814
136	286	1804
137	287	1795
138	288	1785
139	289	1775
140	290	1767
141	290	1756
142	292	1752
143	293	1744
144	294	1738
145	295	1729
146	296	1720
147	297	1711
148	298	1703
149	299	1695
150	300	1687
151	300	1678
152	301	1670
153	302	1661
154	303	1653
155	304	1645
156	305	1639
157	307	1637
158	308	1633
159	309	1627
160	310	1618
161	311	1611
162	312	1604
163	313	1597
164	314	1591
165	315	1583
166	316	1576
167	317	1570
168	317	1563
169	319	1559
170	321	1558
171	322	1554
172	324	1549
173	325	1543
174	326	1538
175	327	1532
176	328	1527
177	329	1522
178	330	1516
179	331	1510
180	332	1505
181	333	1499
182	334	1494
183	335	1489
184	337	1485
185	338	1479
186	338	1473
187	339	1467
188	340	1461
189	341	1456
190	342	1451
191	343	1446
192	344	1441
193	345	1436
194	347	1433
195	348	1429
196	350	1427
197	352	1427
198	354	1425
199	355	1423
200	357	1421
201	359	1420
202	360	1417
203	362	1412
204	363	1410
205	365	1407
206	366	1403
207	367	1399
208	368	1394
209	369	1389
210	371	1387
211	372	1385
212	373	1381
213	374	1376
214	375	1371
215	376	1366
216	378	1364
217	379	1360
218	381	1358
219	382	1356
220	384	1354
221	385	1349
222	386	1345
223	387	1340
224	388	1336
225	389	1332
226	390	1328
227	390	1323
228	391	1319
229	392	1315
230	394	1313
231	396	1312
232	397	1309
233	398	1304
234	399	1300
235	400	1297
236	401	1292
237	402	1288
238	403	1284
239	404	1282
240	405	1278
241	406	1274
242	408	1272
243	409	1269
244	410	1266
245	411	1262
246	412	1258
247	413	1254
248	414	1250
249	415	1245
250	416	1241
251	416	1237
252	417	1233
253	418	1229
254	419	1225
255	420	1221
256	421	1217
257	422	1214
258	423	1211
259	424	1208
260	425	1206
261	426	1202
262	427	1198
263	428	1195
264	429	1191
265	430	1188
266	431	1184
267	432	1180
268	433	1176
269	433	1172
270	434	1169
271	435	1165
272	436	1162
273	437	1159
274	438	1155
275	439	1152
276	441	1151
277	442	1149
278	444	1147
279	445	1144
280	445	1141
281	446	1137
282	448	1135
283	449	1132
284	450	1129
285	451	1126
286	452	1124
287	453	1122
288	455	1120
289	456	1116
290	457	1113
291	457	1110
292	458	1107
293	459	1103
294	460	1100
295	461	1097
296	462	1094
